Date,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
4/11/2014,Tu,13.3,29.4,,6.4,8.2,N,61,8:23,20.7,31,,N,43,1016.7,27.5,13,,N,39,1012.1
5/11/2014,We,13,18.8,,10.8,9.8,SSE,48,11:27,15.8,56,,SSW,30,1018.9,16.8,49,,SSE,30,1018.5
6/11/2014,Th,11,23.9,,6.2,10.9,S,35,16:52,14.7,56,,SSW,9,1017.9,21.8,35,,WSW,7,1014.1
7/11/2014,Fr,11.6,33,5.2,6,11.6,N,43,9:24,19.4,47,1,N,24,1016.8,31.5,18,,N,24,1014.9
8/11/2014,Sa,19.3,35.2,0,14.4,10.6,N,74,7:38,25.8,21,,N,57,1014.9,34.6,8,,N,28,1011.4
9/11/2014,Su,13.1,20,0,14,13.2,S,57,14:05,15.5,54,,SSE,28,1022.6,19.2,46,,S,26,1021.4
10/11/2014,Mo,11.6,21.1,0.6,8.2,9.5,SSE,54,15:42,16.7,72,2,SW,19,1023.1,20.2,49,,SSE,31,1022.2
11/11/2014,Tu,12.8,19.2,0,7.6,11.2,SSE,43,11:56,15.8,47,,SE,26,1024.1,17.8,41,,S,24,1021.6
12/11/2014,We,9.5,25.1,0,5.2,12.7,SSE,33,14:57,14.8,61,1,SW,9,1018.6,24.2,41,,ESE,13,1014.1
13/11/2014,Th,13.3,31.3,0,5.8,9.8,N,61,22:58,18.9,63,,ESE,6,1014.6,30.6,23,,NE,15,1009.4
14/11/2014,Fr,18.9,20.9,0,12.4,1.3,N,52,23:19,20.4,59,6,S,24,1010,18.3,56,,SSE,30,1013.9
15/11/2014,Sa,12.4,18.1,,5.6,1.9,SW,35,17:14,14.2,55,,SE,19,1013.6,16.9,51,,SE,15,1010.7
16/11/2014,Su,10.9,19.3,,5.8,6.8,SW,54,14:05,12.8,91,,SW,26,1009,17.6,59,,SW,30,1009.8
17/11/2014,Mo,12.4,21.1,39,4,9.2,WSW,52,14:02,15.3,67,7,WSW,26,1015.2,19,41,,W,30,1015.2
18/11/2014,Tu,11.3,21.2,0,5.6,8.4,SSE,33,17:03,14.3,58,,SW,17,1021,18.9,41,,S,15,1020.4
19/11/2014,We,11.6,30.1,0,6,12.9,NNW,43,13:35,16.1,61,1,NNE,9,1019.7,29.2,19,5,NW,22,1013.5
20/11/2014,Th,16.2,28.7,0,14.4,0.2,N,76,7:03,25.4,22,7,N,59,1006.7,27.4,39,8,WSW,31,1005.1
21/11/2014,Fr,16.8,23.9,0.8,5,10.6,SW,41,7:06,17.4,65,7,SW,22,1011,22.2,40,1,SSE,13,1010.8
22/11/2014,Sa,13.4,31.4,,6.8,4.6,N,61,14:33,17.4,66,,N,17,1010.9,28.3,24,,N,39,1007.8
23/11/2014,Su,17,25.5,,8,8.3,S,37,15:05,19.6,66,,S,7,1012.5,24.1,49,,SSE,22,1010.2
24/11/2014,Mo,15.7,19.9,2,7.8,0.4,N,63,6:48,17.5,79,7,WSW,9,1009.1,18.3,88,,SW,26,1006.5
25/11/2014,Tu,11,22.3,,2.6,12.5,WSW,52,11:50,15.9,57,,WSW,26,1018.4,21.6,32,,W,30,1018.4
26/11/2014,We,11.8,19.8,12,9,0.2,S,35,15:20,14.8,57,7,WSW,13,1021.7,18.7,52,7,SSE,9,1021.4
27/11/2014,Th,13.2,20.2,0,3.4,11.2,S,43,10:32,16,48,7,SSE,26,1025.9,19.4,47,1,S,26,1024.4
28/11/2014,Fr,12.1,21,0,6.4,10.1,SSW,35,16:02,14.2,69,,ESE,9,1024.3,19.8,53,,SSE,15,1020.5
29/11/2014,Sa,13.3,25,0,6.4,10.2,SSE,35,16:04,15.5,77,,NNE,7,1017.4,22.1,57,,S,20,1011.9
30/11/2014,Su,15.5,34.8,0,6.6,11.9,N,50,10:09,21.3,60,,ENE,6,1008,31.1,35,,N,22,1004.4
1/10/2014,We,7.1,16.6,2.2,8.6,8.3,SW,48,13:27,12.7,52,1,WSW,26,1022.9,14.1,55,,SSW,24,1023.9
2/10/2014,Th,9.4,17.9,0.2,3.4,2.8,SSW,44,17:16,13.2,68,,WSW,19,1024.6,17.4,51,,WSW,24,1022.6
3/10/2014,Fr,10.8,19.4,0.4,3.2,6.4,SW,28,0:50,13,80,7,SSW,9,1023.1,18.1,52,,WSW,9,1018.8
4/10/2014,Sa,9,26.5,0,3.8,11.2,N,72,21:39,19.3,42,,N,33,1015.6,25.6,29,,N,35,1011.7
5/10/2014,Su,13.9,19.5,0,8.2,9.1,S,39,11:51,14.6,62,,SW,19,1017.2,18.3,43,,SE,19,1016.4
6/10/2014,Mo,9.3,25.3,0,4.2,0.2,NW,74,16:30,12.5,70,,N,24,1008.9,23,43,,NW,28,1003.7
7/10/2014,Tu,12.2,18.4,1.2,4,6.2,W,74,0:09,13.3,66,7,W,24,1011.9,16.7,49,,WSW,30,1013.7
8/10/2014,We,8.8,18.8,0.8,4.4,4.9,W,46,14:26,13.7,63,2,WNW,17,1020.7,17.7,52,,WSW,20,1019.9
9/10/2014,Th,9.8,23.3,0,3.2,9.5,NNW,46,12:32,13.6,68,3,N,11,1022.8,20.7,,,NNW,20,1018
10/10/2014,Fr,13.6,24.9,0,5.8,3.9,N,61,8:03,18.5,44,7,N,44,1014.8,20.5,40,,NNE,24,1012
11/10/2014,Sa,13.9,21.6,0,6.2,7.5,N,41,23:09,15.1,70,,WSW,11,1016.3,21.2,45,,SSE,19,1014.1
12/10/2014,Su,10.3,30,0,4.8,11.6,N,52,12:48,14.4,70,,W,2,1010.7,24.7,34,,WNW,26,1004.8
13/10/2014,Mo,10.2,16.7,5.4,8,5.2,SSW,69,14:56,12.1,61,7,WSW,31,1012,15.5,46,7,S,28,1013
14/10/2014,Tu,8.6,17.3,7.4,5,9.5,SSE,61,23:01,12.3,58,7,SSE,30,1021.7,15.8,39,6,S,39,1022.1
15/10/2014,We,8.4,17.5,0,4.6,4.3,S,35,12:36,11.7,52,7,SW,6,1022.7,16.3,40,5,S,19,1020.1
16/10/2014,Th,10.8,17.2,0,3.6,3.9,WSW,43,10:07,13.2,63,7,W,20,1019.2,16,53,6,SSE,17,1019.9
17/10/2014,Fr,10.6,18.4,4.6,2.4,11.3,SSE,31,14:58,13.2,51,6,ESE,19,1027.2,18.1,41,1,SE,9,1025.9
18/10/2014,Sa,8.7,24.4,0,5,7.3,N,61,21:59,14.7,54,,N,30,1026.5,22.6,27,,N,28,1023
19/10/2014,Su,14.7,29.1,0,11.4,2.7,N,81,10:13,21.6,28,,N,50,1021.6,27.9,25,,N,33,1018.8
20/10/2014,Mo,10.8,21.2,0,6.4,12.8,SSE,44,23:19,13.2,47,1,SE,28,1030.3,20.2,29,1,S,28,1027.3
21/10/2014,Tu,8.3,29.1,0,10.2,11.9,NNE,54,9:46,14.2,63,1,ENE,13,1027.5,27.2,32,2,NNE,24,1023.3
22/10/2014,We,14,31.8,0,10.4,10.4,N,74,8:15,21.2,49,1,N,56,1019.6,31,23,6,N,33,1015.3
23/10/2014,Th,15.2,22.7,0,10,3.3,SW,35,15:29,15.3,88,8,S,13,1020.4,18.7,69,7,SSE,13,1016.9
