Date,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),
25/01/2015,Su,14.4,22.4,0,,,SW,44,14:08,17.6,52,,SSW,19,1013.5,21.3,37,,WSW,24,1014.3,25/01/2015/01/2015
26/01/2015,Mo,14.9,21.4,0,,,SSE,39,17:35,17.1,55,,SSE,13,1018.6,19.6,45,,SSE,22,1017.1,26/01/2015/01/2015
27/01/2015,Tu,13.5,23.4,0,25.6,,SSE,44,19:32,17.3,47,,S,11,1018.6,21.9,41,,SE,17,1016.4,27/01/2015/01/2015
28/01/2015,We,13.4,25.8,0,5.6,,SSE,43,4:05,16.2,55,,ESE,11,1018.4,25.5,33,,SSE,15,1015.7,28/01/2015/01/2015
29/01/2015,Th,16,30.2,0,7.2,,ESE,54,2:09,20.1,44,,SE,15,1017.5,28.5,19,,ESE,15,1015.5,29/01/2015/01/2015
30/01/2015,Fr,16.5,28.7,0,8.8,,ESE,43,3:55,20,44,,ESE,6,1016.6,27.9,23,,S,11,1013.7,30/01/2015/01/2015
31/01/2015,Sa,14.3,24.1,0,7.6,,SSE,46,13:56,17.7,52,,ESE,19,1016.5,22.6,40,,SSE,28,1015,31/01/2015/01/2015
1/12/2014,Mo,17.5,24.6,0,20,5.4,W,31,5:10,18.7,69,,W,15,1010.3,22.8,48,,WSW,15,1009.1,1/12/2014/12/2014
2/12/2014,Tu,14.3,29.3,0,3.8,5.6,ENE,24,20:35,20.7,53,,SSW,13,1010,27.5,35,,SSW,7,1008.9,2/12/2014/12/2014
3/12/2014,We,20.6,32.8,0,4.8,11.9,W,35,14:41,26.3,44,,NNE,15,1007.9,31.9,36,,W,20,1006.8,3/12/2014/12/2014
4/12/2014,Th,18.3,25.3,0,9.2,8,SW,39,17:44,20.2,71,,WSW,15,1013.5,24.5,52,,WSW,17,1012.2,4/12/2014/12/2014
5/12/2014,Fr,17.5,24.6,0,4.2,9.9,WSW,43,15:13,18.7,63,,S,15,1012.6,24.3,46,,W,20,1010.7,5/12/2014/12/2014
6/12/2014,Sa,16.4,23.7,,,8.5,S,43,13:38,18.8,63,,S,15,1012.1,21.6,50,,SSE,20,1010.6,6/12/2014/12/2014
7/12/2014,Su,15.8,25.3,,,8.7,WSW,37,16:48,19.1,67,,S,11,1008.8,24.2,51,,SW,19,1007,7/12/2014/12/2014
8/12/2014,Mo,15.9,29.5,0,16.2,11.5,W,39,12:15,21.1,62,,SSW,6,1011.1,26.7,44,,SSE,15,1009.7,8/12/2014/12/2014
9/12/2014,Tu,14.9,32.3,0,6.6,13.1,WSW,30,13:23,22.4,51,,NW,7,1012.8,30,29,,WSW,17,1011.1,9/12/2014/12/2014
10/12/2014,We,19.1,23.4,0,7.4,0,SSE,43,18:51,22.7,52,,SW,6,1010.9,19.5,88,,NE,6,1011.8,10/12/2014/12/2014
11/12/2014,Th,15.9,25.8,3,2,13.3,SE,46,7:09,18.6,57,,NE,7,1016.4,24.8,42,,SSE,19,1016.9,11/12/2014/12/2014
12/12/2014,Fr,13.9,31.1,0,7.2,13.8,ESE,39,2:52,21.6,46,,E,13,1018.8,29.3,36,,WSW,15,1015.6,12/12/2014/12/2014
13/12/2014,Sa,16.7,35.9,,,12.8,WSW,43,17:41,29.1,20,,NNE,15,1012.3,34.6,13,,WNW,22,1009.1,13/12/2014/12/2014
14/12/2014,Su,19.7,28.6,0.4,,12.9,WSW,31,17:06,24.4,61,,W,6,1010.1,27,39,,WSW,17,1009.5,14/12/2014/12/2014
15/12/2014,Mo,14.8,29,0,24.8,13,WSW,31,11:51,20,48,,SSE,4,1007.7,27.4,38,,SW,17,1003.9,15/12/2014/12/2014
16/12/2014,Tu,14.4,24.4,0,7.2,11.4,SW,59,15:31,19.9,70,,NW,11,1003.3,22.2,40,,WSW,28,1005.6,16/12/2014/12/2014
17/12/2014,We,11.9,24.4,0,6.6,10.4,W,31,15:46,16.7,50,,NW,6,1011.7,23.7,30,,SW,19,1009,17/12/2014/12/2014
18/12/2014,Th,13.5,23.7,0,5.6,10.5,W,43,15:54,20,51,,WNW,20,1011.3,23.3,43,,SW,24,1012.9,18/12/2014/12/2014
19/12/2014,Fr,11.2,23.9,0,6,13,W,41,16:22,18.2,45,,SSW,11,1020.4,22.6,44,,WSW,17,1020,19/12/2014/12/2014
20/12/2014,Sa,12.9,30.3,0,,12.9,WSW,26,15:45,19.1,50,,ESE,7,1019.6,29.3,25,,SW,13,1015.2,20/12/2014/12/2014
21/12/2014,Su,17.2,36.1,0,,10.1,NW,35,10:55,30.3,20,,NE,15,1011.5,34.8,18,,W,15,1009.9,21/12/2014/12/2014
22/12/2014,Mo,22.6,26,0,22.4,0,WNW,39,8:12,24.4,60,,ENE,6,1006.8,25.6,51,,SSW,7,1007.3,22/12/2014/12/2014
23/12/2014,Tu,17.7,23.8,1.6,1.2,9.2,SW,50,14:02,18.8,73,,SW,15,1013,21.8,55,,SW,26,1015.3,23/12/2014/12/2014
24/12/2014,We,12.7,24.3,0,6.6,12.9,SW,39,18:12,17.4,54,,SSE,11,1018.1,22.8,45,,SW,24,1015,24/12/2014/12/2014
25/12/2014,Th,12.6,23.5,0,,,SW,46,16:36,17.8,54,,WSW,13,1014.7,21.9,49,,WSW,24,1013.2,25/12/2014/12/2014
26/12/2014,Fr,10.2,23.4,0,,12.4,SSE,35,18:47,16.5,49,,SSW,19,1020.4,22.3,30,,SE,17,1018.2,26/12/2014/12/2014
27/12/2014,Sa,11.5,25.9,0,18.6,13.5,SW,31,14:27,17.8,51,,N,6,1021.2,24.6,39,,WSW,19,1018.1,27/12/2014/12/2014
28/12/2014,Su,13.3,30.4,0,,12.1,W,30,12:46,21.5,39,,NNW,7,1015.3,29.3,23,,WSW,11,1010.3,28/12/2014/12/2014
29/12/2014,Mo,16.3,23,1.4,13.2,10.9,W,56,8:01,17.3,94,,W,22,1008.1,20.6,48,,WSW,22,1010.4,29/12/2014/12/2014
30/12/2014,Tu,16.2,23.7,0,,7.3,W,41,6:15,18.4,64,,WSW,19,1016,22.6,55,,SW,17,1015.9,30/12/2014/12/2014
31/12/2014,We,12.1,28.1,0,11,13,SW,31,14:46,18.4,58,,NNE,2,1017.6,26.8,39,,WSW,13,1013.4,31/12/2014/12/2014
1/11/2014,Sa,13.2,17.8,2,,12.3,SW,54,11:41,14.3,50,,SW,26,1015.1,17.1,33,,SW,28,1018.3,1/11/2014/11/2014
